	name	wiki	city	city_wiki	country	country_wiki	visitors	city_population	urban_population	longitude	latitude	museum_type
0	Louvre	Louvre	Paris	Paris	France	France	7726321	2102650	10858852.0			Art museum and historic site
1	Vatican Museums	Vatican_Museums	Vatican City	Vatican_City	Vatican City	Vatican_City	5080866	764		41.90639	12.45444	Art museum
2	Natural History Museum	Natural_History_Museum,_London	London	London	United Kingdom	United_Kingdom	4654608	8799800	9787426.0	51.49611	-0.17639	Natural history museum
3	British Museum	British_Museum	London	London	United Kingdom	United_Kingdom	4097253	8799800	9787426.0			
4	National Museum of Natural History	National_Museum_of_Natural_History	Washington, D.C.	Washington,_D.C.	United States	United_States	3900000	689545	5174759.0	38.8913	-77.0259	Natural History
5	Tate Modern	Tate_Modern	London	London	United Kingdom	United_Kingdom	3883160	8799800	9787426.0			
6	National Museum of Korea	National_Museum_of_Korea	Seoul	Seoul	South Korea	South_Korea	3411381	9659322		37.52389	126.98028	History and Art museum
7	Guangdong Museum	Guangdong_Museum	Guangzhou	Guangzhou	China	China	3359700	18676605	16492590.0	23.11475	113.326336	
8	Mevlana Museum	Mevlana_Museum	Konya	Konya	Turkey	Turkey	3352505	2277017	1390051.0			Mosque
9	Musée d'Orsay	Musée_d'Orsay	Paris	Paris	France	France	3270182	2102650	10858852.0	48.86000	2.32639	Art museum, Design/Textile Museum, Historic site[1]
10	National Gallery of Art	National_Gallery_of_Art	Washington, D.C.	Washington,_D.C.	United States	United_States	3256433	689545	5174759.0	38.89139	-77.02000	
11	Metropolitan Museum of Art	Metropolitan_Museum_of_Art	New York City	New_York_City	United States	United_States	3208832	8804190	19426449.0	40.7794	-73.9631	Art museum
12	Centre Pompidou	Centre_Pompidou	Paris	Paris	France	France	3009570	2102650	10858852.0			Cultural center
13	State Hermitage Museum	State_Hermitage_Museum	Saint Petersburg	Saint_Petersburg,_Russia	Russia	Russia	2812913	5601911				
14	National Gallery	National_Gallery	London	London	United Kingdom	United_Kingdom	2727119	8799800	9787426.0	51.50889	-0.12833	Art museum
15	State Russian Museum	State_Russian_Museum	Saint Petersburg	Saint_Petersburg	Russia	Russia	2651688	5601911		59.9387417	30.3323833	Art museum and Historic site
16	National Museum of Marine Science and Technology	National_Museum_of_Marine_Science_and_Technology	Keelung	Keelung	Taiwan	Taiwan	2582444	362487		25.14056	121.79861	museum
17	Prado Museum	Prado_Museum	Madrid	Madrid,_Spain	Spain	Spain	2456724	3223334	6211000.0			Non-movable
